Subset_Split,Design_Point,Activation_Function,Number_Neurons,Input_DO_Rate,Hidden_DO_Rate,Initial_Weight_Dist,Data_Scale,Rho,Epsilon,Shuffle_Train_Data,Dropout,DPt,Train_MSE,Test_MSE,Train_Time,Notes
1,167,Rectifier,3,0.005503013,0.112569951,Uniform,ZO,0.825875841,1.46e-10,FALSE,TRUE,NA,0.026233930547306973,0.029988418374761384,0.202,NA
1,168,Rectifier,2,0.093448038,0.076587087,Normal,PM.5,0.843869761,2.18e-10,TRUE,TRUE,NA,0.2077600200806214,0.20671655870837943,0.113,NA
1,169,Tanh,1,0.072723771,0.20457302,UniformAdaptive,PM1,0.835677808,2.06e-10,TRUE,TRUE,NA,0.2509898386475878,0.25543904412442786,0.375,NA
1,170,Tanh,1,0.00462694,0.156580324,Normal,ZO,0.844876508,2.84e-10,FALSE,TRUE,NA,0.06186879774497312,0.06395045770467596,0.452,NA
1,171,Tanh,1,0.044837485,0.014671196,Normal,ZO,0.81877988,1.64e-10,TRUE,TRUE,NA,0.06647134559355405,0.06490955871948084,0.446,NA
1,172,Tanh,3,0.079952387,0.012068965,UniformAdaptive,ZO,0.827138205,2.38e-10,FALSE,TRUE,NA,0.008789897045115989,0.012578051111508141,0.505,NA
1,173,Rectifier,1,0.068100521,0.038875435,Normal,PM.5,0.798526537,3.01e-10,TRUE,TRUE,NA,0.14075199762187446,0.1437093359188415,0.045,NA
1,174,Rectifier,1,0.007684752,0.019957259,Uniform,PM.5,0.782959769,2.28e-10,FALSE,TRUE,NA,0.14309630137076185,0.14175623422460024,0.074,NA
1,175,Rectifier,1,0.131798656,0.136321112,Uniform,PM1,0.840593653,3.31e-10,TRUE,TRUE,NA,0.5206268949308192,0.5532033839957335,0.157,NA
1,176,Tanh,2,0.112988754,0.142352108,Uniform,ZO,0.833235509,2.53e-10,TRUE,TRUE,NA,0.010676970436129569,0.014182833894688959,0.48,NA
1,177,Tanh,2,0.042121397,0.201408392,Uniform,PM1,0.811609284,2.44e-10,FALSE,TRUE,NA,0.03795505908985747,0.05213970235973675,0.489,NA
1,178,Rectifier,3,0.17047214,0.076969034,Normal,PM.5,0.787314768,2.89e-10,FALSE,TRUE,NA,0.1442774155269652,0.14612123254967535,0.17,NA
1,179,Tanh,2,0.20181987,0.117457832,Normal,ZO,0.823538907,2.34e-10,FALSE,TRUE,NA,0.059890781606729726,0.06118440247923215,0.377,NA
1,180,Rectifier,2,0.138495188,0.023302102,Uniform,PM.5,0.81503627,2.77e-10,TRUE,TRUE,NA,0.16446779249480373,0.17587401613010048,0.075,NA
1,181,Rectifier,2,0.143682313,0.091198372,Normal,ZO,0.801329163,2.24e-10,FALSE,TRUE,NA,0.08941482667455226,0.08764217614851254,0.261,NA
1,182,Rectifier,2,0.125335963,0.035700698,Uniform,PM1,0.837581743,3.58e-10,TRUE,TRUE,NA,0.5714109704502451,0.5631536787434622,0.1,NA
1,183,Rectifier,2,0.036549332,0.055247915,Uniform,ZO,0.845735454,3.19e-10,FALSE,TRUE,NA,0.20389064330115111,0.19146984119272276,0.045,NA
1,184,Tanh,3,0.028316522,0.031061953,Uniform,PM1,0.829608744,3.73e-10,TRUE,TRUE,NA,0.02676693669705901,0.03879158285098699,0.444,NA
1,185,Tanh,2,0.181339533,0.003490665,Normal,PM1,0.803875771,3.63e-10,FALSE,TRUE,NA,0.036803090756694405,0.046802554593265815,0.48,NA
1,186,Rectifier,2,0.003768874,0.07841787,Uniform,PM.5,0.794586814,4.01e-10,TRUE,TRUE,NA,0.15023568046124716,0.15224327078476715,0.074,NA
1,187,Tanh,2,0.109421986,0.073960553,UniformAdaptive,PM.5,0.773501207,3.37e-10,TRUE,TRUE,NA,0.00759239073821379,0.010801739317400144,0.453,NA
1,188,Tanh,2,0.068826227,0.171291965,UniformAdaptive,PM.5,0.844242396,3.61e-10,TRUE,TRUE,NA,0.009668130692205516,0.012840040904140175,0.368,NA
1,189,Tanh,1,0.050105576,0.122570563,UniformAdaptive,PM1,0.788374651,3.69e-10,TRUE,TRUE,NA,0.3252088034252682,0.3370452815356381,0.44,NA
1,190,Tanh,2,0.055525844,0.18566474,UniformAdaptive,ZO,0.804441455,3.83e-10,FALSE,TRUE,NA,0.012262317558096954,0.01520704565454653,0.328,NA
1,191,Rectifier,2,0.019807541,0.146968795,UniformAdaptive,PM.5,0.805011902,3.25e-10,TRUE,TRUE,NA,0.13477201745223463,0.14122195019746628,0.084,NA
1,192,Tanh,3,0.030868543,0.093515846,Normal,ZO,0.809886668,1.88e-10,TRUE,TRUE,NA,0.09335496116724895,0.09943043121751664,0.481,NA
1,193,Rectifier,3,0.268126628,0.004707163,UniformAdaptive,PM.5,0.776206236,1.76e-10,TRUE,TRUE,NA,0.15590300608584554,0.1643582507792187,0.099,NA
1,194,Tanh,1,0.337618312,0.041816382,Uniform,ZO,0.800311371,1.49e-10,TRUE,TRUE,NA,0.06396954047141531,0.07139366388315392,0.374,NA
1,195,Rectifier,3,0.326808592,0.067728713,Normal,PM.5,0.792277157,1.96e-10,FALSE,TRUE,NA,0.14994992928427878,0.15295799603687593,0.372,NA
1,196,Tanh,2,0.183745386,0.014004676,UniformAdaptive,ZO,0.780842849,7.3e-11,TRUE,TRUE,NA,0.019250397801850755,0.023050275887171255,0.473,NA
1,197,Rectifier,2,0.255977691,0.048298496,Normal,PM.5,0.766546679,1.09e-10,FALSE,TRUE,NA,0.14769806441156078,0.15271112903422504,0.086,NA
1,198,Rectifier,3,0.230508134,0.058171902,UniformAdaptive,ZO,0.791591637,8.23e-11,FALSE,TRUE,NA,0.07273299913553256,0.07836121636003163,0.248,NA
1,199,Rectifier,3,0.189608254,0.035402316,Normal,PM1,0.810223817,1.14e-10,FALSE,TRUE,NA,0.6577684267460844,0.6715924764129653,0.259,NA
1,200,Rectifier,2,0.306665123,0.120225317,UniformAdaptive,PM.5,0.841520263,1.55e-10,TRUE,TRUE,NA,0.13291770528435629,0.14102056342376676,0.087,NA
2,1,Rectifier,1,0.071610591,0.049719046,Uniform,PM.5,0.735845125,3.43e-10,TRUE,TRUE,NA,0.14944695433363467,0.13167925721944435,0.052,NA
2,2,Rectifier,1,0.019232317,0.017179239,Uniform,PM.5,0.723234995,2.73e-10,FALSE,TRUE,NA,0.13948511208295042,0.12319257736027966,0.234,NA
2,3,Tanh,3,0.04326823,0.112831847,Uniform,PM.5,0.750983297,3.09e-10,TRUE,TRUE,NA,0.006751305507771603,0.005934195164978674,0.343,NA
2,4,Tanh,2,0.091016357,0.005830334,Normal,PM1,0.765311227,3.91e-10,FALSE,TRUE,NA,0.03429746585846736,0.02986086149658692,0.513,NA
2,5,Rectifier,1,0.008320758,0.133043173,Uniform,PM1,0.757013746,3.86e-10,TRUE,TRUE,NA,0.5710357082210693,0.5277210011461658,0.087,NA
2,6,Tanh,1,0.121987776,0.089889653,UniformAdaptive,PM.5,0.724448362,3.64e-10,FALSE,TRUE,NA,0.05440198471852855,0.06960257690136416,0.417,NA
